prefecture_code,prefecture_name_jp,prefecture_name_en,hourly_min_wage_jpy
01,北海道,Hokkaido,1010
02,青森県,Aomori,953
03,岩手県,Iwate,952
04,宮城県,Miyagi,973
05,秋田県,Akita,951
06,山形県,Yamagata,955
07,福島県,Fukushima,955
08,茨城県,Ibaraki,1005
09,栃木県,Tochigi,1004
10,群馬県,Gunma,985
11,埼玉県,Saitama,1078
12,千葉県,Chiba,1076
13,東京都,Tokyo,1163
14,神奈川県,Kanagawa,1162
15,新潟県,Niigata,985
16,富山県,Toyama,998
17,石川県,Ishikawa,984
18,福井県,Fukui,984
19,山梨県,Yamanashi,988
20,長野県,Nagano,998
21,岐阜県,Gifu,1001
22,静岡県,Shizuoka,1034
23,愛知県,Aichi,1077
24,三重県,Mie,1023
25,滋賀県,Shiga,1017
26,京都府,Kyoto,1058
27,大阪府,Osaka,1114
28,兵庫県,Hyogo,1052
29,奈良県,Nara,986
30,和歌山県,Wakayama,980
31,鳥取県,Tottori,957
32,島根県,Shimane,962
33,岡山県,Okayama,982
34,広島県,Hiroshima,1020
35,山口県,Yamaguchi,979
36,徳島県,Tokushima,980
37,香川県,Kagawa,970
38,愛媛県,Ehime,956
39,高知県,Kochi,952
40,福岡県,Fukuoka,992
41,佐賀県,Saga,956
42,長崎県,Nagasaki,953
43,熊本県,Kumamoto,952
44,大分県,Oita,954
45,宮崎県,Miyazaki,952
46,鹿児島県,Kagoshima,953
47,沖縄県,Okinawa,952
