prefecture_code,prefecture_name_en,gdp_fy2020,gdp_fy2021,gdp_fy2022
01,Hokkaido,20091994,20596060,20889250
02,Aomori,4467869,4476118,4439055
03,Iwate,4700770,4679551,4797050
04,Miyagi,9439342,9597459,9614668
05,Akita,3460621,3544291,3629335
06,Yamagata,4232189,4306329,4340427
07,Fukushima,7848624,7856368,7864963
08,Ibaraki,13717914,14548953,14585606
09,Tochigi,8944016,9230874,9596238
10,Gunma,8677085,9148854,9762017
11,Saitama,23044635,24057795,24665567
12,Chiba,20684795,20766238,21414302
13,Tokyo,109156810,114419518,120219929
14,Kanagawa,34307651,35354745,35159372
15,Niigata,8836239,9006580,9042891
16,Toyama,4692823,4861962,4927629
17,Ishikawa,4527548,4636409,4717260
18,Fukui,3559129,3658683,3494304
19,Yamanashi,3551066,3689823,3715030
20,Nagano,8293616,8647067,8918152
21,Gifu,7678778,7966842,8225187
22,Shizuoka,17230960,17506587,18271075
23,Aichi,39620283,40517317,43083104
24,Mie,8330584,8497309,8490601
25,Shiga,6763522,6889681,7005956
26,Kyoto,10337191,10876650,11107553
27,Osaka,39900863,41375395,43124192
28,Hyogo,21940130,22632376,23462649
29,Nara,3692485,3811785,3920990
30,Wakayama,3603763,3815530,3996073
31,Tottori,1831272,1937169,1912211
32,Shimane,2585335,2669344,2752746
33,Okayama,7544227,7711229,7344951
34,Hiroshima,11617303,12123867,12476116
35,Yamaguchi,6111585,6261722,6306247
36,Tokushima,3203189,3353341,3265795
37,Kagawa,3689170,3850189,3972232
38,Ehime,4813948,5090058,5138119
39,Kochi,2327710,2379041,2407441
40,Fukuoka,19001695,19766939,20187168
41,Saga,3047893,3178825,3148889
42,Nagasaki,4537426,4624875,4653614
43,Kumamoto,6058960,6382326,6565053
44,Oita,4453304,4761504,4900706
45,Miyazaki,3625567,3717528,3766949
46,Kagoshima,5596336,5948854,6048596
47,Okinawa,4201021,4370172,4461530
