prefecture_code,prefecture_name_jp,prefecture_name_en,monthly_wage_2023_thousands,monthly_wage_2024_thousands
00,全国,National,318.3,330.4
01,北海道,Hokkaido,288.5,288.6
02,青森県,Aomori,249.9,259.8
03,岩手県,Iwate,259.6,267.0
04,宮城県,Miyagi,288.9,298.1
05,秋田県,Akita,261.4,269.5
06,山形県,Yamagata,255.8,276.3
07,福島県,Fukushima,279.4,272.4
08,茨城県,Ibaraki,311.9,312.9
09,栃木県,Tochigi,323.0,314.4
10,群馬県,Gunma,296.7,302.5
11,埼玉県,Saitama,317.2,322.3
12,千葉県,Chiba,309.5,320.3
13,東京都,Tokyo,368.5,403.7
14,神奈川県,Kanagawa,350.4,355.8
15,新潟県,Niigata,270.2,288.7
16,富山県,Toyama,293.9,295.2
17,石川県,Ishikawa,290.4,308.4
18,福井県,Fukui,285.3,304.4
19,山梨県,Yamanashi,287.7,290.9
20,長野県,Nagano,292.2,289.3
21,岐阜県,Gifu,292.4,298.6
22,静岡県,Shizuoka,305.3,309.4
23,愛知県,Aichi,321.8,332.6
24,三重県,Mie,304.8,309.4
25,滋賀県,Shiga,302.9,312.9
26,京都府,Kyoto,316.0,323.3
27,大阪府,Osaka,340.0,348.0
28,兵庫県,Hyogo,316.8,318.8
29,奈良県,Nara,298.1,297.3
30,和歌山県,Wakayama,302.1,269.1
31,鳥取県,Tottori,258.3,269.8
32,島根県,Shimane,268.7,296.5
33,岡山県,Okayama,290.8,312.7
34,広島県,Hiroshima,296.9,312.7
35,山口県,Yamaguchi,290.1,293.0
36,徳島県,Tokushima,279.4,281.5
37,香川県,Kagawa,279.6,298.3
38,愛媛県,Ehime,271.3,273.3
39,高知県,Kochi,273.0,297.2
40,福岡県,Fukuoka,297.3,308.0
41,佐賀県,Saga,257.3,276.5
42,長崎県,Nagasaki,269.4,278.1
43,熊本県,Kumamoto,271.4,285.1
44,大分県,Oita,269.0,283.1
45,宮崎県,Miyazaki,254.3,259.8
46,鹿児島県,Kagoshima,268.3,273.9
47,沖縄県,Okinawa,261.4,269.3
