ward_ja,ward_en,population_2026,households_2026,area_km2,pop_density_per_km2,avg_land_price_yen_m2,residential_land_price_yen_m2,commercial_land_price_yen_m2,land_price_yoy_change_pct,resale_condo_70m2_million_yen,rent_1R1K1DK_man_yen,rent_1LDK2K2DK_man_yen,rent_2LDK3K3DK_man_yen,rent_3LDK4K_man_yen
千代田区,Chiyoda,69139,39737,11.66,5930,6914576,3631428,7356538,12.76,188.82,11.0,11.6,19.2,30.3
中央区,Chuo,191015,108424,10.21,18709,10034603,1930000,11385370,13.51,153.27,10.7,11.0,18.8,26.9
港区,Minato,269877,155262,20.36,13255,5518395,3013666,6991764,14.99,170.03,11.7,11.8,22.9,36.4
新宿区,Shinjuku,355125,234374,18.22,19491,4331090,1131571,6159387,12.88,99.30,8.5,10.5,16.9,26.2
文京区,Bunkyo,236981,132456,11.29,20990,1895320,1448086,2276296,16.03,95.89,8.0,9.2,16.3,23.3
台東区,Taito,217512,138606,10.11,21515,2377924,1320833,2512872,18.50,88.24,8.5,10.2,15.4,21.1
墨田区,Sumida,288833,171985,13.77,20976,933208,613272,1203923,14.17,68.64,8.4,9.2,14.6,19.7
江東区,Koto,543193,297147,42.99,12635,897425,661538,1310294,13.47,76.57,8.6,9.7,13.7,21.0
品川区,Shinagawa,415644,240687,22.85,18190,1814525,1244066,2470357,15.00,81.68,8.4,9.4,16.0,22.9
目黒区,Meguro,282607,162902,14.67,19264,1841734,1404531,2664705,13.68,90.33,8.8,10.0,16.8,26.0
大田区,Ota,745048,424146,61.86,12044,849697,647581,1201694,8.76,58.52,7.2,8.4,12.5,16.9
世田谷区,Setagaya,928666,508002,58.05,15998,905808,779853,1334843,7.58,77.72,7.3,8.8,14.3,19.4
渋谷区,Shibuya,230880,143708,15.11,15280,6097793,1874080,9297575,12.54,144.82,10.0,10.8,19.7,31.0
中野区,Nakano,343794,220969,15.59,22052,1371980,782703,2034916,13.07,84.29,7.2,8.9,13.6,19.1
杉並区,Suginami,582636,339208,34.06,17106,930151,703177,1516500,10.82,64.03,6.9,8.3,13.0,17.5
豊島区,Toshima,296129,189882,13.01,22762,2206666,912130,3167129,14.27,100.00,7.4,8.9,14.1,21.1
北区,Kita,367432,216145,20.61,17828,1067333,742000,1505826,13.49,61.80,7.0,8.5,12.5,18.1
荒川区,Arakawa,224784,128146,10.16,22124,984892,718687,1339833,13.77,60.21,7.4,8.5,12.4,18.8
板橋区,Itabashi,583528,340146,32.22,18111,668159,553553,998789,9.71,51.22,6.7,7.9,11.1,15.1
練馬区,Nerima,750559,400678,48.08,15611,567453,480544,1002000,6.68,51.15,6.5,7.7,11.2,13.2
足立区,Adachi,703369,386004,53.25,13209,535222,410760,847281,7.12,37.87,6.6,7.5,9.2,12.9
葛飾区,Katsushika,472558,256910,34.80,13579,487841,387545,720105,7.28,43.63,6.0,7.5,8.7,12.0
江戸川区,Edogawa,697414,365465,49.90,13976,514707,441115,857437,6.31,51.54,6.0,7.3,9.4,12.7
