year,foreign_residents,foreign_visitors
1975,751842,850000
1976,753924,950000
1977,762050,1040000
1978,766894,1113000
1979,774505,1200000
1980,782910,1340000
1981,792946,1360000
1982,802477,1660000
1983,817129,1940000
1984,841831,2000000
1985,850612,1980000
1986,867237,2050000
1987,884025,2150000
1988,941005,2400000
1989,984455,2800000
1990,1075317,3208155
1991,1218891,3330000
1992,1281644,3410000
1993,1320748,3470000
1994,1354011,3550000
1995,1362371,3346246
1996,1415136,4000000
1997,1482707,4240000
1998,1512116,4160000
1999,1556113,4440000
2000,1686444,5000000
2001,1778462,4770000
2002,1851758,5240000
2003,1915030,5212656
2004,1973747,6137905
2005,2011555,6727280
2006,2084919,7334355
2007,2152973,8347133
2008,2214000,8351600
2009,2186000,6789667
2010,2134151,8611175
2011,2047349,6219777
2012,2033656,8358105
2013,2066445,10363904
2014,2121831,13414711
2015,2232189,19736711
2016,2382000,24039700
2017,2561000,28691073
2018,2731000,31191856
2019,2933000,31882049
2020,2887116,4115884
2021,2760635,245862
2022,3075213,3831900
2023,3410992,25072760
2024,3768977,36870000
