area_en,area_jp,price_per_sqm_jpy,yoy_pct,type
Kita-Aoyama,北青山,30600000,5.5,commercial
Toranomon,虎ノ門,10150000,9.6,commercial
Higashi-Shinbashi,東新橋,8730000,9.0,commercial
Shinbashi,新橋,8680000,11.8,commercial
Minami-Aoyama,南青山,8120000,11.4,commercial
Konan,港南,7490000,14.5,commercial
Akasaka,赤坂,5870000,16.2,mixed
Nishi-Shinbashi,西新橋,5650000,12.9,commercial
Roppongi,六本木,5560000,13.3,mixed
Shiba-Daimon,芝大門,5440000,17.2,commercial
Shiba,芝,5300000,17.9,commercial
Azabudai,麻布台,4960000,18.1,mixed
Shibaura,芝浦,4420000,18.4,mixed
Takanawa,高輪,3890000,16.9,residential
Minami-Azabu,南麻布,3790000,16.0,residential
Moto-Akasaka,元赤坂,3510000,17.0,residential
Moto-Azabu,元麻布,3220000,16.5,residential
Higashi-Azabu,東麻布,2720000,16.1,residential
Nishi-Azabu,西麻布,2690000,17.0,residential
Shirokane,白金,2530000,15.7,residential
Odaiba,お台場,900000,8.2,waterfront
