year,month,residential_composite,condo,detached,residential_land
2008,4,108.4,101.6,110.2,112.2
2008,5,107.1,100.6,107.7,111.7
2008,6,107.4,101.0,108.2,111.5
2008,7,106.1,100.9,107.0,109.6
2008,8,105.5,98.4,106.3,111.1
2008,9,104.3,99.0,105.5,107.3
2008,10,103.2,98.0,104.7,105.5
2008,11,102.4,97.3,102.9,105.2
2008,12,101.0,96.7,101.6,104.0
2009,1,100.0,94.7,101.3,102.8
2009,2,98.8,94.3,99.9,101.4
2009,3,98.6,94.3,100.1,100.8
2009,4,98.2,94.2,98.6,102.0
2009,5,98.0,95.1,98.4,100.2
2009,6,97.6,94.0,98.3,100.2
2009,7,98.5,95.1,99.0,101.5
2009,8,98.3,95.3,99.2,100.0
2009,9,99.1,95.9,98.8,102.9
2009,10,97.2,95.6,97.8,98.1
2009,11,99.9,98.7,99.6,100.5
2009,12,98.6,97.2,98.9,99.5
2010,1,99.1,98.3,99.4,99.0
2010,2,99.7,99.3,99.9,99.6
2010,3,99.7,99.3,99.8,100.7
2010,4,99.6,99.2,100.2,99.2
2010,5,100.3,99.2,100.5,101.1
2010,6,100.0,99.4,100.1,100.3
2010,7,99.5,99.8,99.7,99.5
2010,8,100.1,100.5,99.8,100.2
2010,9,100.0,100.7,99.7,100.0
2010,10,100.3,101.7,100.0,99.8
2010,11,100.5,99.7,100.3,100.4
2010,12,101.0,103.0,100.6,99.9
2011,1,100.3,100.2,99.9,100.6
2011,2,100.4,101.8,100.1,99.3
2011,3,100.3,103.6,99.2,99.7
2011,4,100.4,102.3,100.1,99.4
2011,5,100.1,102.0,100.3,98.3
2011,6,99.9,103.1,99.3,98.0
2011,7,100.5,101.9,101.3,98.5
2011,8,100.0,102.6,99.4,98.6
2011,9,100.1,103.0,99.7,98.0
2011,10,100.3,103.4,100.1,98.3
2011,11,99.1,102.3,98.2,96.6
2011,12,99.6,102.1,99.4,98.0
2012,1,100.1,102.8,99.4,98.5
2012,2,99.5,102.7,98.7,97.9
2012,3,99.7,102.0,98.8,99.9
2012,4,98.7,102.5,98.0,96.4
2012,5,98.7,102.8,98.0,96.7
2012,6,99.3,103.0,98.4,97.6
2012,7,98.5,103.0,97.8,96.4
2012,8,98.4,103.1,97.6,95.7
2012,9,99.3,102.3,98.7,97.6
2012,10,99.3,102.2,98.3,98.6
2012,11,99.5,102.7,98.7,96.8
2012,12,99.4,102.2,99.4,96.8
2013,1,98.7,102.3,98.4,95.9
2013,2,99.1,101.7,98.4,98.0
2013,3,99.6,103.7,98.8,97.6
2013,4,100.5,105.1,98.9,98.6
2013,5,100.2,106.0,98.7,97.7
2013,6,101.1,106.9,100.0,97.2
2013,7,100.8,107.5,99.9,96.9
2013,8,102.0,108.1,100.7,98.3
2013,9,101.0,108.3,99.6,96.4
2013,10,101.6,108.9,99.7,98.2
2013,11,103.3,110.9,101.4,98.8
2013,12,102.2,112.3,100.2,96.8
2014,1,101.5,110.1,99.7,96.1
2014,2,102.6,113.4,100.3,96.1
2014,3,102.2,111.6,100.8,95.7
2014,4,101.3,110.5,100.4,93.2
2014,5,102.7,111.8,100.2,99.0
2014,6,101.9,111.8,99.3,97.0
2014,7,102.3,113.4,99.7,96.7
2014,8,102.6,113.9,99.5,97.4
2014,9,102.2,114.2,98.2,97.5
2014,10,103.0,115.3,100.0,95.9
2014,11,103.0,115.1,99.5,97.3
2014,12,103.7,116.6,98.8,100.2
2015,1,104.2,117.4,100.1,97.9
2015,2,104.6,117.2,100.4,99.0
2015,3,104.1,119.8,99.7,96.9
2015,4,104.7,120.3,100.1,97.6
2015,5,104.6,120.2,100.6,97.4
2015,6,103.9,119.9,99.0,96.7
2015,7,104.9,121.1,99.9,98.7
2015,8,105.0,121.0,100.3,97.7
2015,9,106.2,123.1,101.4,98.8
2015,10,104.9,123.0,98.8,97.5
2015,11,105.5,124.5,99.5,96.8
2015,12,106.0,124.9,100.6,98.0
2016,1,106.3,126.0,100.3,97.2
2016,2,104.9,126.2,100.2,93.6
2016,3,106.3,126.0,100.5,97.3
2016,4,106.8,126.8,101.1,97.1
2016,5,107.3,128.5,100.6,99.3
2016,6,108.3,130.2,101.6,99.4
2016,7,106.3,129.0,100.3,95.5
2016,8,107.5,130.0,100.5,98.0
2016,9,108.1,131.1,101.6,98.0
2016,10,108.5,131.0,101.2,98.7
2016,11,108.1,131.3,100.5,99.1
2016,12,108.1,130.0,101.1,99.2
2017,1,110.5,132.6,102.3,102.0
2017,2,109.5,133.6,102.1,100.1
2017,3,109.4,134.0,101.5,99.7
2017,4,109.7,134.6,100.9,100.8
2017,5,109.3,134.9,101.7,99.5
2017,6,109.8,135.5,102.2,99.0
2017,7,110.3,137.6,102.5,99.5
2017,8,110.0,136.3,101.9,99.4
2017,9,109.9,136.7,101.7,100.1
2017,10,109.2,135.3,99.9,100.5
2017,11,110.8,137.9,102.2,100.6
2017,12,110.7,138.1,102.0,99.5
2018,1,111.0,138.1,101.0,101.4
2018,2,111.3,138.6,103.4,100.0
2018,3,111.9,140.5,102.1,102.9
2018,4,111.8,140.7,102.3,101.0
2018,5,111.0,140.2,101.5,100.3
2018,6,112.2,142.2,102.7,100.9
2018,7,112.5,141.9,102.5,103.2
2018,8,112.6,143.4,102.2,103.2
2018,9,111.1,139.5,102.5,101.1
2018,10,113.3,143.8,102.9,101.3
2018,11,112.9,144.0,103.3,100.5
2018,12,113.1,145.4,102.4,101.7
2019,1,114.9,146.1,105.2,101.3
2019,2,113.1,146.8,102.5,101.6
2019,3,113.6,146.5,102.9,102.9
2019,4,113.4,146.3,103.3,99.1
2019,5,114.4,146.5,103.5,101.9
2019,6,113.8,146.8,102.5,101.0
2019,7,113.3,147.2,102.6,100.4
2019,8,113.4,147.8,102.4,100.4
2019,9,113.8,147.2,102.7,100.9
2019,10,114.4,149.9,102.9,100.9
2019,11,114.4,150.5,102.3,101.4
2019,12,113.8,149.7,102.1,99.9
2020,1,112.6,151.4,101.9,93.5
2020,2,113.8,150.5,101.2,102.3
2020,3,113.7,151.8,101.8,99.0
2020,4,113.9,152.5,101.1,100.3
2020,5,113.6,154.4,100.8,101.2
2020,6,111.7,152.0,99.0,101.1
2020,7,111.6,150.7,100.1,97.0
2020,8,113.7,152.9,101.4,98.5
2020,9,114.7,155.0,101.3,100.3
2020,10,114.8,155.2,101.4,100.5
2020,11,115.8,156.0,103.2,100.8
2020,12,117.3,158.4,103.8,102.5
2021,1,116.6,157.0,102.6,102.2
2021,2,117.2,158.7,103.7,102.5
2021,3,117.6,159.7,104.8,101.1
2021,4,117.9,160.8,103.7,103.4
2021,5,119.5,164.6,105.9,102.3
2021,6,120.5,165.3,106.0,104.1
2021,7,121.8,166.5,108.6,103.9
2021,8,123.1,168.7,108.2,108.3
2021,9,122.5,169.3,108.5,104.1
2021,10,123.3,167.9,109.6,103.9
2021,11,124.0,171.5,109.4,105.8
2021,12,124.7,172.4,109.8,104.6
2022,1,126.6,174.7,111.3,107.6
2022,2,128.0,177.6,112.5,106.7
2022,3,128.6,177.9,112.3,108.3
2022,4,129.9,179.4,115.2,107.5
2022,5,130.9,183.4,115.5,108.9
2022,6,129.9,179.9,114.8,108.4
2022,7,131.9,183.9,117.4,110.6
2022,8,132.0,183.1,117.1,111.4
2022,9,132.3,184.3,117.0,110.0
2022,10,133.3,185.8,114.9,112.3
2022,11,133.2,187.4,116.8,110.1
2022,12,133.8,187.5,117.0,111.9
2023,1,133.7,188.2,117.9,109.9
2023,2,133.5,187.3,117.8,111.4
2023,3,133.8,189.1,117.4,111.0
2023,4,133.9,190.5,116.9,108.9
2023,5,133.6,189.8,116.9,110.7
2023,6,136.0,191.3,117.4,115.5
2023,7,134.4,191.0,116.0,113.5
2023,8,134.6,191.2,115.9,114.3
2023,9,135.6,193.2,116.3,114.3
2023,10,136.9,194.7,117.5,115.7
2023,11,135.7,194.5,116.7,115.0
2023,12,136.1,196.2,117.3,114.6
2024,1,137.8,197.1,117.7,116.0
2024,2,136.1,198.5,114.0,116.3
2024,3,136.8,198.2,116.4,116.1
2024,4,138.3,199.6,117.3,116.4
2024,5,137.9,200.3,116.6,116.3
2024,6,138.5,202.0,118.7,114.6
2024,7,137.3,201.7,116.5,114.7
2024,8,139.6,206.4,118.6,114.9
2024,9,140.8,206.1,118.9,116.8
2024,10,139.2,205.6,117.5,114.8
2024,11,140.4,207.2,119.0,116.4
2024,12,140.7,207.7,118.4,117.7
2025,1,140.9,210.1,117.3,116.0
2025,2,143.0,213.7,120.5,115.4
2025,3,145.9,216.0,124.7,118.6
2025,4,142.5,212.2,119.3,118.1
2025,5,143.1,215.1,118.1,118.9
2025,6,144.3,215.9,120.1,120.1
2025,7,144.4,219.6,119.9,118.9
2025,8,145.3,221.2,119.9,119.9
2025,9,146.0,220.5,120.6,121.0
2025,10,146.1,221.4,120.7,116.5
2025,11,147.3,222.9,120.4,121.2
2025,12,148.0,225.1,121.9,119.8
