prefecture,total,korea,china,hong_kong,taiwan,usa,canada,uk,germany,france,australia,thailand,singapore,malaysia,indonesia,philippines,vietnam,india,other
hokkaido,9286950,2135780,1279600,676920,2006690,370280,57560,51750,27630,28050,234000,492810,446390,225970,115050,114770,16740,16680,606400
aomori,389040,37630,55360,34250,130500,28040,3680,4550,3230,3510,12380,9890,18600,4080,2260,2010,1200,930,23760
iwate,364780,11640,28170,25030,212500,12640,2020,2910,2180,2270,13820,10180,6900,3870,1760,820,1730,420,15380
miyagi,743370,35910,81070,37860,367530,36500,5910,8590,6320,6200,13290,26710,11570,13480,5430,2410,1760,1640,47160
akita,107870,4400,11530,6550,46400,7060,1360,1000,970,1130,1990,2350,2620,1090,530,460,3800,210,7700
yamagata,211080,7810,21200,16960,94090,8660,1390,2030,2140,1940,6180,9980,6780,5230,2080,880,1280,650,15150
fukushima,289160,2630,16520,11890,154510,8390,1320,1990,1920,1930,6100,20000,4740,3600,1830,1440,4260,1420,16630
ibaraki,227350,34110,30790,6010,48260,15700,1330,3330,4030,2060,2470,4880,3030,1890,1720,1430,7640,2900,17880
tochigi,350830,19770,38390,16690,64290,35420,6380,5170,7280,8920,8450,21550,8020,4130,2740,2190,2430,4920,40930
gunma,292630,14290,32090,30290,79850,19100,5270,3390,3400,4360,9170,18450,9230,3150,3230,1590,1510,1270,32790
saitama,216210,19040,43560,9910,18240,29730,3350,3860,4560,3150,5230,7700,4070,2560,2670,3390,2960,4270,22690
chiba,4347580,246350,786140,130650,590750,582620,97380,42000,25330,24300,214900,210210,117860,67930,63840,91000,32210,32240,485570
tokyo,47432720,4169900,8447000,2043940,3906210,7168160,1124960,1276730,799490,836880,2480500,1101970,1605990,589670,867500,846590,198710,451960,5611500
kanagawa,3843540,199240,842690,151440,310420,690830,78780,105490,77350,71880,160100,78840,91720,46480,29370,39820,21940,47630,466360
niigata,434520,29180,58040,47350,125720,23010,2740,6480,2130,2100,25150,18710,17460,7120,4420,3830,1940,1300,27990
toyama,233950,19960,35350,14500,82940,8720,1210,2920,1440,1790,3090,9970,8440,3110,3780,1060,950,1410,20350
ishikawa,1781960,41220,161170,72080,326280,203110,35050,71640,49730,84720,111440,22710,48990,22320,28630,7060,3560,8500,272340
fukui,73490,2800,9380,13550,15870,4200,810,1680,860,1270,1370,2850,1260,520,360,960,840,240,7830
yamanashi,1533680,42680,359420,141520,269130,72250,15710,18120,20200,21920,42350,142960,57920,39530,38010,9080,27880,5910,139130
nagano,1574300,44130,126660,146330,381220,77410,17990,40100,33010,25820,153040,95880,86300,26730,40760,11480,8420,6840,172030
gifu,1382580,97720,215040,120050,184000,70810,16810,45250,31930,38160,53560,87880,46730,29260,25830,6400,12640,5400,153930
shizuoka,1635430,111120,579150,86140,180620,87410,16160,23880,17680,17630,45010,60180,43800,39830,31290,10660,44360,29350,104630
aichi,3526090,370180,951330,284980,667030,118220,28610,28880,25750,27370,68060,140700,80630,30300,39400,86400,67910,22250,216600
mie,214960,13120,38160,19540,36190,12220,1810,3960,5880,6720,4070,9420,6260,4580,2260,3430,4860,1270,25100
shiga,305330,31270,41360,35700,70110,18290,3800,3700,3610,2740,5120,8480,7310,3250,1580,800,3370,2820,21320
kyoto,14097050,771190,2725690,476240,1351090,2036890,337760,435850,323500,435790,719610,180260,357560,164990,147600,96020,49650,115620,1912480
osaka,22664480,3859470,5736880,1153730,2439570,1426860,328470,317970,236550,238610,877160,639510,643930,346770,313130,429160,126580,146950,2021080
hyogo,1423380,133440,363930,102450,282940,87130,18110,24430,23820,29820,36810,26720,31080,13230,7770,11150,10650,9290,142230
nara,349230,15690,111340,17080,27410,37260,6440,9860,9070,21180,11280,3930,6550,2780,1360,1230,500,1250,49260
wakayama,433990,33720,112260,57070,48980,22570,6250,7930,10990,14820,14330,4610,7150,1670,820,710,1670,840,54000
tottori,97600,16150,17860,17320,14400,2760,1080,670,650,900,710,1130,1170,520,140,120,110,150,5320
shimane,67670,9450,9470,3470,13590,4880,730,900,1030,4440,1450,1560,850,250,660,370,1250,840,9890
okayama,483390,36690,55060,25550,173060,22390,5780,10430,7540,22400,21280,6170,7230,2380,2210,"*4,190",2780,1470,51950
hiroshima,1610550,123700,97840,28050,122070,205950,35940,106860,82970,100190,131150,11960,24430,6110,8390,9200,5460,19340,280620
yamaguchi,120680,50400,8900,4440,14260,15600,730,880,920,1120,1510,1980,1740,610,790,560,1520,200,6170
tokushima,134240,7040,13870,22390,25080,9150,1800,2310,2770,4270,4570,2330,3120,1260,800,620,820,290,20310
kagawa,761760,149020,142430,62720,252810,21670,4350,6750,5590,7980,10310,3280,3980,1280,610,530,1170,610,48620
ehime,367280,140930,23940,18120,109100,12910,2770,3110,3550,3840,5000,2300,3780,790,610,1130,1010,1380,19650
kochi,106580,7570,11460,9990,48400,6640,1230,1580,1280,1330,2760,1220,2400,500,290,240,400,80,7290
fukuoka,6849060,2888160,702950,817290,1005560,164700,41460,40690,24690,22660,56950,213410,136630,31650,32920,89530,8420,8110,293920
saga,220590,75140,38530,23780,40980,8510,1160,1290,810,1160,1400,2850,3960,1830,700,310,180,250,13820
nagasaki,510500,150600,36880,38970,82280,41640,3330,5350,6340,5620,7750,12460,15090,3090,2450,4950,1840,1130,44000
kumamoto,1330350,353590,139770,143810,408250,30890,6590,8130,8420,8790,12050,25490,39070,9940,3370,12630,2450,1670,61010
oita,1078830,471170,71640,130210,198940,20210,4290,5830,5570,4210,14540,33370,25280,4970,3390,7830,2190,1460,45690
miyazaki,155290,64280,10680,16090,23270,5730,980,920,1120,1640,1390,2130,5430,850,870,700,1040,260,7590
kagoshima,485370,126960,85540,70640,65520,24130,5330,6740,8370,7720,8570,4620,14770,2620,1710,790,1540,450,28000
okinawa,4380330,769670,388570,367510,1289400,568140,31720,29010,40370,23220,35500,32940,61850,12430,3250,8930,1700,4390,190190
