year,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2011,1583740,33730,33330,53520,27210,34710,27540,88200,77300,48760,55030,1429740,5651810,674600,91250,51160,126260,23560,250270,224140,134080,333560,712630,90990,85710,1052740,2365390,309060,34560,63890,31810,15830,59030,169620,37020,19310,36570,38890,16480,604160,36860,276810,250390,358860,41980,92890,560770
2012,2012070,42430,45990,90330,27580,32170,37230,89020,106910,69240,88230,1794850,8291740,924550,96870,94000,190380,26570,387360,288340,260090,494220,944640,94660,114000,2305170,3060850,353830,104300,116930,39490,17920,78880,401130,48170,45090,43090,62660,33640,758730,40960,418820,325910,310320,153230,170570,781210
2013,3069750,62480,65320,106600,36140,37410,41830,88490,178960,108930,97570,2048240,9830950,1067440,106510,136290,326380,30360,492230,543090,416740,559740,1147560,130890,131880,2625880,4314500,507030,164570,187100,46850,18980,85970,365800,46230,32310,95830,67020,24820,900040,55550,424980,421320,409640,136990,214810,1487750
2014,3890590,74010,77130,117150,41510,48220,44040,94070,159400,112280,99440,2667200,13195260,1432500,135520,142070,348290,31530,948880,660480,597690,786310,1489680,178520,230750,3291010,6200160,697910,145260,284790,58830,28000,110960,435020,56670,35940,142710,64120,38590,1357300,90940,492510,475400,400400,161020,266000,2388550
2015,5641140,119010,106330,190610,59800,75720,56420,200730,231540,160340,158580,3500370,17560590,2156320,262500,207790,517430,55970,1252130,947450,930660,1739620,2347290,391740,477250,4578670,8965670,1207020,258600,434630,103430,42950,170530,740630,109410,58340,210470,106850,65890,2359700,191120,872190,714720,773990,201880,415730,3684870
2016,6554220,160180,132030,199290,66950,88200,78860,224630,252430,214350,169510,3344800,18059960,2160600,267020,222270,623460,54360,1371300,1134940,1013490,1570350,2393190,351870,480740,4602810,10008830,1119760,307840,557350,100320,58310,281800,839710,92520,69450,358360,146700,75400,2674110,249640,725420,518730,827010,245180,480920,3859790
2017,7702470,260330,187930,264470,104660,117860,130300,230690,271810,291460,219440,3675180,19775890,2336510,315400,287720,777240,61160,1608760,1289960,975060,1501920,2542860,334230,388580,5556380,11672040,1248220,389440,525050,140530,47860,438970,927890,117330,102810,482300,178590,75410,3112070,385250,779250,807750,1386930,296670,744180,4623800
2018,8335030,349050,258920,402110,123430,163460,176360,254190,323390,289400,230470,4115770,23194530,2753800,404890,306200,973950,75860,1961210,1527160,1484320,1793750,2850230,340580,412510,6267750,15124140,1259930,438670,584350,194730,72740,469460,1237170,122630,116230,546100,229530,79160,3366510,391900,860090,1013020,1442210,326530,830540,6201270
2019,8805160,356550,343970,563040,139400,234050,214690,217410,354830,292490,219520,4798250,29350650,3248700,480490,357830,984720,97730,2054960,1577570,1660330,2493790,3633500,388950,423890,12025050,17926170,1366850,535290,658480,184600,104090,486600,1322280,104360,133560,771730,216270,95360,4261960,359240,753310,934990,1206780,326260,839900,7750760
2020,2050370,78420,87780,131270,25380,87440,87680,52520,62690,70410,39960,1141600,5003240,594600,255190,50770,189490,23080,356740,526750,289700,267390,660140,58560,59970,1708410,3224750,180050,56890,69220,34350,13300,74260,169010,31510,20040,81270,57760,17000,623350,42340,148320,140390,162050,52970,121380,1065410
2021,66130,17090,17750,49490,7910,15920,34840,24880,24810,17290,26130,597650,1536490,244400,30670,10870,13150,9370,24600,62830,30710,93450,108370,16990,18740,105580,319380,53460,6920,9830,11030,11260,21900,43430,19580,9630,13530,35280,8750,104290,6860,111610,35860,25010,10230,15790,237420
2022,857170,32930,25640,65620,16280,25900,38350,55400,65360,46670,57100,851640,6775590,509100,87450,41660,87210,12460,167200,179910,121540,170960,342470,48740,41060,1413310,2129680,125650,31660,73800,12390,10920,59130,142540,48600,18140,33930,33420,9890,606420,20490,95330,100160,169630,23430,38070,582900
2023,7131890,265280,282510,525870,95600,178790,213080,237960,434940,316610,170140,3219060,43637550,3226340,345130,235830,1027510,64900,1423050,1493430,1095750,1045010,2008790,201050,285610,12133480,18755090,1016160,334410,517370,71150,53100,331710,1444310,91460,133630,445170,202950,139110,5037830,156090,463470,1000530,1306940,116440,361550,4477820
2024,10311760,413280,386400,776630,119610,256130,324060,277530,481390,432480,227690,4407820,56803870,4420400,528520,250370,2199860,92190,2554720,2339720,1928680,1885580,3905130,241130,336850,16938020,25393930,1505800,399920,787900,118390,83710,514000,1958170,125530,173660,906740,452210,131730,7386030,229300,643260,1471730,1568820,213080,620050,6938830
2025,12815920,522180,429130,1003880,145040,291950,380180,296210,457510,358840,290730,4440650,59591270,5053800,820880,323760,2202210,110240,2680960,2454030,1999760,2183860,4863240,372080,306640,18747780,24203390,1947120,501920,896340,198930,112110,676730,2120570,161890,230300,1119220,580100,136510,7909710,254330,760380,1762520,1505490,261410,696790,8689510
