year,total,south_korea,china,taiwan,hong_kong,thailand,singapore,malaysia,indonesia,philippines,vietnam,india,usa,canada,uk,france,germany,australia,russia,other
2003,5211725,1459333,448782,785379,260214,80022,76896,65369,64637,137584,17094,47520,655821,126065,200543,85179,93571,172134,44512,391070
2004,6137905,1588472,616009,1080590,300246,104864,90001,72445,55259,154588,19056,53000,759753,142091,215704,95894,106297,194276,56554,432806
2005,6727926,1747171,652820,1274612,298810,120238,94161,78173,58974,139572,22138,58572,822033,150012,221535,110822,118429,206179,63609,490066
2006,7334077,2117325,811675,1309121,352265,125704,115870,85627,59911,95530,25637,62505,816727,157438,216476,117785,115337,195094,60654,493396
2007,8346969,2600694,942439,1385255,432042,167481,151860,100890,64178,89532,31909,67583,815882,165993,221945,137787,125193,222518,64244,559544
2008,8350835,2382397,1000416,1390228,550190,191881,167894,105663,66593,82177,34794,67323,768345,168307,206564,147580,126207,242031,66270,585975
2009,6789658,1586772,1006085,1024292,449568,177541,145224,89509,63617,71485,34221,58918,699919,152756,181460,141251,110692,211659,46952,537737
2010,8611175,2439816,1412875,1268278,508691,214881,180960,114519,80632,77377,41862,66819,727234,153303,184045,151011,124360,225751,51457,587304
2011,6218752,1658073,1043246,993974,364865,144969,111354,81516,61911,63099,41048,59354,565887,101299,140099,95438,80772,162578,33793,415477
2012,8358105,2042775,1425100,1465753,481665,260640,142201,130183,101460,85037,55156,68914,716709,135355,173994,130412,108898,206404,50176,577273
2013,10363904,2456165,1314437,2210821,745881,453642,189280,176521,136797,108351,84469,75095,799280,152766,191798,154892,121776,244569,60502,686862
2014,13413467,2755313,2409158,2829821,925975,657570,227962,249521,158739,184204,124266,87967,891668,182865,220060,178570,140254,302656,64077,822821
2015,19737409,4002095,4993689,3677075,1524292,796731,308783,305447,205083,268361,185395,103084,1033258,231390,258488,214228,162580,376075,54365,1036990
2016,24039700,5090302,6373564,4167512,1839193,901525,361807,394268,271014,347861,233763,122939,1242719,273213,292458,253449,183288,445332,54839,1190654
2017,28691073,7140438,7355818,4564053,2231568,987211,404132,439548,352330,424121,308898,134371,1374964,305591,310499,268605,195606,495054,77251,1321015
2018,31191856,7538952,8380034,4757258,2207804,1132160,437280,468360,396852,503976,389005,154029,1526407,330600,333979,304896,215336,552440,94810,1467678
2019,31882049,5584597,9594394,4890602,2290792,1318977,492252,501592,412779,613114,495051,175896,1723861,375262,424279,336333,236544,621771,120043,1673910
2020,4115828,487939,1069256,694476,346020,219830,55273,76573,77724,109110,152559,26931,219307,53365,51024,43102,29785,143508,22260,237786
2021,245862,18947,42239,5016,1252,2758,857,1831,5209,5625,26586,8831,20026,3536,7294,7024,5197,3265,3723,76646
2022,3832110,1012751,189125,331097,269285,198037,131969,74095,119723,126842,284113,54314,323513,55877,57496,52782,45748,88648,10324,406371
2023,25066350,6958494,2425157,4202434,2114402,995558,591267,415712,429382,622293,573916,166394,2045854,425874,321482,277436,233410,613062,41965,1612258
2024,36870148,8817765,6981342,6044316,2683391,1148848,691226,506883,517651,818659,621173,233061,2724594,579445,437230,385071,325870,920196,99264,2334163
2025,42683837,9459711,9096455,6763424,2517402,1233103,726251,636575,640577,885023,678594,315062,3306823,688021,535004,457566,429479,1058396,194908,3061463
2026,10683500,3058100,1073500,2041500,650200,393000,170800,208800,208000,241000,205900,75800,803400,179200,135300,91500,98700,344700,41200,662900
